customer_id,signup_date,tenure_months,plan_type,signup_channel,monthly_spend,num_support_tickets,last_login_days_ago,payment_failures_past_90d,cancel_page_views_30d,is_churned
C104884,2022-01-05,24,Standard,paid_search,53.1,1,19.0,0,0,0
C106925,2022-01-05,24,Basic,organic,15.21,2,3.0,0,0,0
C102400,2022-01-05,24,Basic,organic,18.9,1,7.0,1,0,0
C104054,2022-01-05,24,Premium,paid_search,79.74,0,12.0,1,0,0
C105718,2022-01-05,24,Premium,organic,98.87,0,1.0,1,0,0
C107988,2022-01-06,24,Premium,paid_search,77.13,0,2.0,0,0,0
C107726,2022-01-06,24,Standard,paid_search,46.12,1,9.0,0,0,0
C100103,2022-01-06,24,Basic,paid_search,16.76,0,5.0,0,0,0
C100574,2022-01-06,24,Premium,paid_search,88.82,2,,0,0,0
C103398,2022-01-06,24,Premium,partner,72.55,3,10.0,0,0,0
C104688,2022-01-06,24,Basic,paid_search,21.0,2,11.0,0,0,0
C104360,2022-01-06,24,Basic,organic,18.25,0,1.0,0,0,0
C105843,2022-01-06,24,Standard,paid_search,44.75,2,4.0,0,0,0
C106877,2022-01-06,24,Standard,organic,23.46,1,9.0,0,0,0
C101189,2022-01-06,24,Standard,referral,37.31,1,6.0,0,0,0
C106154,2022-01-06,24,Basic,paid_search,21.4,0,9.0,0,0,0
C101278,2022-01-06,24,Basic,organic,18.72,1,2.0,0,0,0
C102201,2022-01-06,24,Standard,partner,34.19,1,2.0,1,0,0
C100706,2022-01-06,24,Basic,organic,21.1,1,5.0,1,0,0
C102442,2022-01-07,24,Premium,organic,92.29,0,14.0,0,0,0
C107584,2022-01-07,24,Premium,organic,73.49,0,3.0,0,0,0
C104767,2022-01-07,24,Premium,paid_search,113.4,1,11.0,0,0,0
C101531,2022-01-07,24,Premium,organic,99.75,2,1.0,0,0,0
C104130,2022-01-07,24,Standard,organic,38.59,2,6.0,0,0,0
C101806,2022-01-07,24,Standard,organic,25.74,1,,0,0,0
C103724,2022-01-07,24,Premium,partner,86.75,0,4.0,0,0,0
C107968,2022-01-07,24,Standard,paid_search,41.12,0,6.0,0,0,0
C101174,2022-01-07,24,Basic,organic,15.18,2,9.0,1,0,0
C104787,2022-01-08,24,Standard,organic,47.51,1,1.0,0,0,0
C106590,2022-01-08,24,Basic,organic,24.54,1,4.0,0,0,0
C103798,2022-01-08,24,Basic,organic,12.24,0,20.0,0,0,0
C105602,2022-01-08,24,Standard,organic,39.2,1,,1,0,0
C101762,2022-01-08,24,Standard,organic,33.57,0,0.0,1,1,0
C101069,2022-01-08,24,Standard,paid_search,40.53,0,,0,0,0
C106753,2022-01-08,24,Basic,organic,21.83,0,21.0,1,0,1
C100302,2022-01-08,24,Premium,referral,75.88,1,1.0,0,0,0
C104392,2022-01-09,24,Basic,paid_search,24.55,0,,0,0,0
C105915,2022-01-09,24,Basic,paid_search,19.4,0,9.0,0,0,0
C105879,2022-01-09,24,Basic,paid_search,18.82,0,11.0,0,0,0
C103903,2022-01-09,24,Standard,partner,35.26,0,,0,0,0
C100800,2022-01-09,24,Basic,partner,22.24,2,10.0,0,0,0
C106150,2022-01-09,24,Standard,referral,40.12,3,10.0,0,0,0
C103821,2022-01-09,24,Standard,organic,35.4,2,0.0,0,0,0
C105437,2022-01-09,24,Standard,paid_search,37.87,1,6.0,0,0,0
C106746,2022-01-09,24,Standard,paid_search,38.52,1,9.0,0,0,0
C100789,2022-01-09,24,Standard,organic,32.11,3,6.0,1,0,0
C106641,2022-01-10,24,Premium,organic,89.1,0,4.0,0,0,0
C101681,2022-01-10,24,Basic,organic,21.05,1,0.0,0,0,0
C106435,2022-01-10,24,Premium,paid_search,53.88,1,5.0,0,0,0
C107516,2022-01-10,24,Premium,organic,92.82,0,,0,0,0
C107580,2022-01-10,24,Standard,organic,34.37,2,1.0,0,0,0
C105077,2022-01-10,24,Standard,referral,44.91,2,21.0,1,0,0
C103102,2022-01-11,24,Standard,referral,40.42,0,2.0,0,0,0
C101120,2022-01-11,24,Standard,organic,44.2,0,16.0,0,0,0
C106526,2022-01-11,24,Premium,organic,72.75,0,16.0,0,0,0
C100838,2022-01-11,24,Basic,paid_search,22.78,1,7.0,0,3,1
C101037,2022-01-11,24,Basic,paid_search,20.89,1,0.0,0,0,0
C104229,2022-01-11,24,Standard,partner,42.31,0,10.0,0,0,0
C104930,2022-01-11,24,Standard,partner,44.04,0,3.0,0,0,0
C104045,2022-01-11,24,Basic,paid_search,19.16,1,8.0,0,0,0
C107488,2022-01-11,24,Basic,organic,19.61,0,29.0,0,0,0
C107991,2022-01-11,24,Basic,organic,19.25,1,5.0,0,0,0
C100409,2022-01-11,24,Basic,paid_search,18.17,1,2.0,0,0,0
C100888,2022-01-12,24,Basic,partner,20.48,3,15.0,1,0,0
C104103,2022-01-12,24,Standard,organic,33.36,1,11.0,0,0,0
C106280,2022-01-12,24,Standard,organic,38.09,3,7.0,0,0,0
C106470,2022-01-12,24,Basic,paid_search,17.79,1,10.0,0,0,0
C106141,2022-01-12,24,Standard,paid_search,49.6,0,0.0,0,0,0
C103135,2022-01-12,24,Standard,paid_search,34.46,1,8.0,0,0,0
C107720,2022-01-12,24,Basic,paid_search,18.97,0,9.0,0,0,0
C107598,2022-01-12,24,Standard,paid_search,46.09,3,8.0,1,0,0
C107134,2022-01-12,24,Standard,organic,26.44,0,4.0,0,0,0
C107601,2022-01-12,24,Basic,partner,22.68,2,2.0,0,0,0
C107226,2022-01-12,24,Basic,organic,19.09,2,7.0,1,0,0
C105141,2022-01-12,24,Premium,organic,61.99,1,14.0,0,0,0
C105067,2022-01-13,24,Standard,organic,40.94,3,24.0,0,0,0
C103504,2022-01-13,24,Standard,organic,39.9,3,21.0,0,0,0
C101365,2022-01-13,24,Premium,organic,87.3,2,4.0,1,0,0
C105744,2022-01-13,24,Standard,paid_search,50.67,0,0.0,0,0,0
C102974,2022-01-13,24,Standard,organic,49.62,0,6.0,1,0,0
C107063,2022-01-13,24,Basic,partner,15.45,2,6.0,0,0,0
C104504,2022-01-13,24,Standard,paid_search,33.28,0,32.0,0,0,0
C101623,2022-01-13,24,Standard,partner,42.07,1,8.0,0,0,0
C100477,2022-01-14,24,Basic,paid_search,22.05,1,,0,0,0
C103857,2022-01-14,24,Basic,organic,21.17,0,4.0,0,0,0
C101593,2022-01-14,24,Basic,organic,19.9,2,3.0,1,0,0
C100414,2022-01-14,24,Basic,paid_search,27.62,1,4.0,0,0,0
C104116,2022-01-14,24,Standard,organic,44.08,2,3.0,1,0,0
C104526,2022-01-14,24,Standard,organic,38.0,0,17.0,0,0,0
C103897,2022-01-14,24,Basic,organic,19.47,0,,0,1,0
C101651,2022-01-14,24,Basic,organic,21.42,0,1.0,1,0,0
C100232,2022-01-15,24,Standard,organic,42.07,0,9.0,0,0,0
C107757,2022-01-15,24,Basic,organic,20.83,0,5.0,0,0,0
C106917,2022-01-15,24,Standard,paid_search,30.57,2,2.0,0,0,0
C105745,2022-01-15,24,Standard,paid_search,34.8,0,14.0,0,0,0
C107609,2022-01-15,24,Basic,organic,22.4,2,7.0,0,0,0
C104562,2022-01-15,24,Premium,organic,68.27,0,1.0,0,0,0
C102089,2022-01-15,24,Standard,organic,37.24,0,7.0,1,0,0
C103803,2022-01-16,23,Standard,partner,27.84,0,2.0,0,0,0
C100299,2022-01-16,23,Standard,organic,36.69,0,9.0,1,0,0
C102170,2022-01-16,23,Premium,referral,77.47,2,5.0,0,0,0
C100539,2022-01-16,23,Basic,paid_search,19.91,0,1.0,0,0,0
C103787,2022-01-16,23,Premium,organic,88.87,2,21.0,0,0,0
C105034,2022-01-16,23,Standard,organic,44.82,0,0.0,0,0,0
C105410,2022-01-16,23,Basic,referral,17.8,1,10.0,1,0,0
C105620,2022-01-16,23,Basic,organic,22.32,1,,0,0,0
C105896,2022-01-16,23,Standard,partner,38.75,1,,0,0,0
C106892,2022-01-16,23,Premium,referral,90.0,1,0.0,0,0,0
C104061,2022-01-16,23,Basic,organic,17.69,0,2.0,0,0,0
C101528,2022-01-16,23,Premium,paid_search,56.36,1,7.0,0,0,0
C104075,2022-01-17,23,Standard,paid_search,36.72,0,8.0,0,0,0
C103804,2022-01-17,23,Basic,referral,23.62,0,5.0,0,0,0
C100271,2022-01-17,23,Standard,organic,33.78,1,9.0,0,0,0
C100169,2022-01-17,23,Standard,paid_search,45.64,0,1.0,0,0,0
C101743,2022-01-17,23,Premium,referral,87.37,0,,1,0,0
C102137,2022-01-17,23,Basic,partner,21.03,3,2.0,0,0,0
C100368,2022-01-17,23,Basic,paid_search,20.93,0,9.0,0,0,0
C101166,2022-01-17,23,Basic,organic,16.21,0,10.0,0,0,0
C107585,2022-01-18,23,Premium,paid_search,74.25,3,0.0,0,0,0
C106218,2022-01-18,23,Basic,organic,27.11,2,4.0,0,0,0
C103308,2022-01-18,23,Basic,paid_search,17.82,2,1.0,0,2,0
C100820,2022-01-18,23,Standard,organic,25.05,1,18.0,0,0,0
C101782,2022-01-18,23,Standard,referral,36.64,1,33.0,0,0,0
C105773,2022-01-18,23,Standard,organic,37.28,0,17.0,0,0,0
C106706,2022-01-18,23,Premium,paid_search,62.01,2,15.0,1,0,0
C103441,2022-01-18,23,Standard,partner,49.09,1,7.0,1,0,0
C103946,2022-01-18,23,Premium,organic,89.43,0,1.0,0,0,0
C104699,2022-01-18,23,Basic,partner,21.63,3,15.0,0,0,0
C103118,2022-01-18,23,Basic,paid_search,18.02,0,24.0,0,0,0
C102260,2022-01-18,23,Premium,paid_search,82.85,0,6.0,0,0,0
C102711,2022-01-18,23,Premium,paid_search,75.78,1,7.0,0,0,0
C100453,2022-01-19,23,Standard,referral,49.06,0,40.0,0,0,0
C104912,2022-01-19,23,Standard,paid_search,35.65,0,12.0,0,0,0
C101398,2022-01-19,23,Standard,paid_search,26.8,1,2.0,0,0,0
C106615,2022-01-19,23,Basic,organic,22.38,0,,0,0,0
C106106,2022-01-19,23,Basic,organic,15.15,0,2.0,0,0,0
C103996,2022-01-19,23,Basic,partner,17.9,1,2.0,0,0,0
C101179,2022-01-19,23,Standard,partner,45.62,0,2.0,0,0,0
C100428,2022-01-19,23,Basic,partner,21.99,2,7.0,0,0,0
C105404,2022-01-19,23,Standard,organic,36.25,0,7.0,0,0,0
C104259,2022-01-19,23,Standard,referral,37.57,1,11.0,0,0,0
C105161,2022-01-19,23,Premium,paid_search,87.41,0,10.0,0,1,1
C105113,2022-01-19,23,Standard,referral,32.94,0,3.0,0,0,0
C107397,2022-01-19,23,Standard,organic,50.92,0,32.0,1,0,0
C106665,2022-01-20,23,Standard,paid_search,39.58,2,1.0,0,0,0
C104644,2022-01-20,23,Basic,paid_search,17.74,1,9.0,0,0,0
C102328,2022-01-20,23,Basic,partner,20.05,0,0.0,1,0,0
C106368,2022-01-20,23,Standard,organic,35.62,0,6.0,1,0,0
C106599,2022-01-20,23,Premium,organic,66.88,1,4.0,0,0,0
C103485,2022-01-20,23,Standard,referral,42.39,0,0.0,1,0,0
C102409,2022-01-20,23,Basic,paid_search,27.43,0,4.0,0,0,0
C107484,2022-01-20,23,Basic,organic,20.81,1,5.0,0,0,0
C102468,2022-01-20,23,Premium,organic,91.34,0,2.0,1,0,0
C102635,2022-01-20,23,Basic,paid_search,21.06,3,3.0,0,0,0
C105528,2022-01-20,23,Standard,paid_search,33.56,2,4.0,0,0,0
C102222,2022-01-20,23,Standard,referral,41.41,0,5.0,0,2,1
C106383,2022-01-20,23,Standard,paid_search,50.0,0,4.0,0,0,0
C107064,2022-01-20,23,Basic,organic,22.24,1,3.0,0,0,0
C104714,2022-01-21,23,Basic,organic,16.57,1,3.0,0,0,0
C105629,2022-01-21,23,Standard,referral,39.52,0,11.0,0,0,0
C107723,2022-01-21,23,Basic,organic,22.06,0,12.0,0,0,0
C106787,2022-01-21,23,Basic,organic,16.04,0,,0,0,0
C100829,2022-01-22,23,Premium,organic,74.05,0,9.0,0,0,0
C106906,2022-01-22,23,Standard,organic,50.95,1,,0,0,0
C107010,2022-01-22,23,Standard,organic,35.76,2,0.0,2,0,0
C105428,2022-01-22,23,Standard,paid_search,36.54,1,2.0,0,0,0
C103536,2022-01-22,23,Standard,paid_search,34.0,2,4.0,1,0,0
C101299,2022-01-22,23,Basic,paid_search,21.16,1,29.0,0,2,1
C101943,2022-01-22,23,Standard,organic,43.75,1,5.0,0,0,0
C104534,2022-01-22,23,Standard,organic,39.35,1,1.0,1,0,0
C107822,2022-01-22,23,Standard,organic,30.28,0,,0,0,0
C101492,2022-01-22,23,Basic,referral,14.68,0,13.0,0,0,0
C101589,2022-01-22,23,Standard,paid_search,40.2,2,12.0,0,0,0
C107647,2022-01-23,23,Basic,organic,18.41,0,4.0,0,0,0
C101535,2022-01-23,23,Standard,paid_search,39.7,0,5.0,0,0,0
C102950,2022-01-23,23,Standard,referral,42.78,0,5.0,0,0,0
C103457,2022-01-23,23,Standard,organic,38.37,1,0.0,0,0,0
C106572,2022-01-23,23,Basic,paid_search,15.06,0,1.0,0,0,0
C104530,2022-01-23,23,Standard,paid_search,42.26,0,19.0,0,0,0
C100137,2022-01-23,23,Premium,referral,82.39,0,7.0,0,0,0
C107283,2022-01-23,23,Basic,organic,19.19,0,2.0,0,0,0
C102558,2022-01-23,23,Premium,organic,82.55,2,10.0,0,2,1
C106916,2022-01-23,23,Basic,organic,14.35,0,3.0,1,0,0
C104159,2022-01-23,23,Basic,partner,17.81,0,,0,0,0
C101868,2022-01-23,23,Basic,organic,19.69,0,8.0,1,0,0
C105119,2022-01-23,23,Premium,referral,49.27,0,1.0,0,0,0
C100786,2022-01-24,23,Basic,referral,18.83,0,31.0,0,2,0
C100384,2022-01-24,23,Premium,paid_search,117.08,1,0.0,0,0,0
C106701,2022-01-24,23,Basic,paid_search,27.92,0,7.0,0,0,0
C102498,2022-01-24,23,Basic,paid_search,20.28,0,13.0,0,0,0
C104243,2022-01-24,23,Basic,organic,17.06,1,6.0,0,0,0
C104641,2022-01-24,23,Premium,organic,60.9,1,10.0,1,0,0
C105395,2022-01-24,23,Standard,partner,37.72,0,6.0,0,0,0
C105209,2022-01-24,23,Standard,referral,49.09,1,6.0,1,0,0
C102262,2022-01-24,23,Basic,organic,21.09,0,14.0,0,0,0
C104035,2022-01-24,23,Premium,referral,71.98,1,7.0,0,0,0
C103681,2022-01-24,23,Standard,paid_search,44.3,4,41.0,0,3,1
C105466,2022-01-25,23,Basic,organic,19.56,2,0.0,1,0,0
C105499,2022-01-25,23,Basic,organic,22.02,2,56.0,0,2,1
C106563,2022-01-25,23,Basic,organic,19.8,1,7.0,1,0,0
C105001,2022-01-25,23,Basic,organic,18.76,0,10.0,0,0,0
C104274,2022-01-25,23,Basic,organic,18.26,0,6.0,0,0,0
C104303,2022-01-25,23,Standard,paid_search,36.88,0,20.0,0,0,0
C106444,2022-01-25,23,Standard,referral,44.3,0,15.0,1,0,0
C106292,2022-01-25,23,Premium,partner,76.87,0,1.0,0,0,0
C106760,2022-01-25,23,Basic,paid_search,15.68,0,2.0,0,0,0
C101682,2022-01-26,23,Basic,organic,22.04,0,8.0,0,0,0
C106564,2022-01-26,23,Standard,paid_search,32.79,1,31.0,0,0,0
C105502,2022-01-26,23,Standard,organic,35.88,1,17.0,0,0,0
C106907,2022-01-26,23,Basic,organic,22.89,1,,0,0,0
C103319,2022-01-26,23,Basic,organic,19.56,1,0.0,0,0,0
C105837,2022-01-26,23,Standard,paid_search,42.32,1,43.0,0,0,0
C100146,2022-01-26,23,Basic,paid_search,19.87,4,15.0,0,0,0
C102865,2022-01-26,23,Basic,organic,18.71,2,0.0,0,0,0
C100662,2022-01-26,23,Standard,paid_search,35.9,1,2.0,0,0,0
C102321,2022-01-26,23,Basic,paid_search,21.25,1,16.0,0,0,0
C104002,2022-01-26,23,Basic,organic,19.63,2,18.0,0,0,0
C105068,2022-01-26,23,Standard,organic,43.92,5,3.0,0,4,1
C100969,2022-01-27,23,Standard,organic,22.07,0,2.0,0,0,0
C104944,2022-01-27,23,Standard,partner,44.62,3,3.0,0,0,0
C101445,2022-01-27,23,Basic,organic,19.4,0,21.0,0,0,0
C105739,2022-01-27,23,Standard,paid_search,44.97,2,4.0,0,0,0
C104298,2022-01-27,23,Basic,organic,19.61,2,9.0,0,0,0
C107346,2022-01-27,23,Standard,referral,42.29,0,5.0,0,0,0
C102763,2022-01-27,23,Standard,organic,22.98,1,11.0,0,0,0
C101908,2022-01-27,23,Basic,paid_search,16.43,0,21.0,0,0,1
C100843,2022-01-27,23,Basic,organic,22.2,1,,0,0,0
C104551,2022-01-27,23,Standard,paid_search,38.9,0,2.0,0,0,0
C107867,2022-01-27,23,Standard,organic,55.41,2,7.0,0,0,0
C106743,2022-01-27,23,Standard,partner,34.57,0,,0,0,0
C101265,2022-01-27,23,Basic,paid_search,15.18,1,18.0,0,0,0
C104968,2022-01-28,23,Premium,organic,90.0,0,,0,0,0
C106509,2022-01-28,23,Standard,partner,50.03,2,24.0,0,0,0
C100116,2022-01-28,23,Standard,organic,46.48,1,12.0,0,0,0
C103754,2022-01-28,23,Basic,paid_search,13.55,0,0.0,0,0,0
C106358,2022-01-28,23,Standard,organic,27.69,3,22.0,0,0,0
C106576,2022-01-28,23,Standard,paid_search,39.26,0,7.0,0,0,0
C103632,2022-01-28,23,Premium,organic,70.98,0,4.0,0,0,0
C107794,2022-01-28,23,Standard,referral,34.96,0,2.0,1,0,0
C103544,2022-01-28,23,Standard,referral,40.18,2,7.0,0,0,0
C100327,2022-01-28,23,Standard,organic,38.68,0,7.0,0,0,0
C106900,2022-01-28,23,Basic,referral,20.59,1,6.0,1,0,0
C107771,2022-01-29,23,Standard,organic,45.77,0,2.0,1,0,0
C104235,2022-01-29,23,Basic,organic,15.95,1,21.0,1,0,0
C106278,2022-01-29,23,Basic,organic,19.1,0,27.0,0,3,1
C107398,2022-01-29,23,Basic,referral,15.06,1,6.0,0,0,0
C107381,2022-01-29,23,Basic,referral,20.49,1,4.0,0,0,0
C104591,2022-01-29,23,Basic,referral,22.96,1,,0,0,0
C107110,2022-01-29,23,Basic,organic,21.96,1,4.0,0,0,0
C102202,2022-01-29,23,Standard,referral,39.6,0,1.0,0,0,0
C104193,2022-01-29,23,Premium,referral,95.52,1,2.0,0,0,0
C103239,2022-01-29,23,Premium,organic,93.91,0,12.0,0,0,0
C104457,2022-01-29,23,Premium,partner,76.17,0,5.0,0,0,0
C102629,2022-01-29,23,Standard,paid_search,38.85,1,12.0,0,0,0
C106705,2022-01-29,23,Standard,paid_search,41.71,0,3.0,0,0,0
C102037,2022-01-30,23,Basic,organic,15.79,0,5.0,1,0,0
C105627,2022-01-30,23,Basic,partner,20.34,0,1.0,0,0,0
C102880,2022-01-30,23,Basic,organic,17.36,0,2.0,1,0,0
C101451,2022-01-30,23,Standard,paid_search,44.55,1,15.0,0,0,0
C104750,2022-01-30,23,Standard,organic,41.5,0,5.0,0,0,0
C102727,2022-01-30,23,Basic,organic,15.87,0,4.0,0,0,0
C106885,2022-01-30,23,Basic,referral,21.42,1,,1,0,0
C102771,2022-01-30,23,Standard,referral,34.67,0,0.0,1,0,0
C107675,2022-01-30,23,Basic,organic,11.73,1,27.0,0,0,0
C101239,2022-01-30,23,Standard,organic,31.74,1,26.0,0,0,0
C100869,2022-01-30,23,Standard,organic,50.65,0,15.0,1,0,0
C106351,2022-01-30,23,Standard,referral,32.74,1,1.0,0,0,0
C100249,2022-01-31,23,Standard,paid_search,39.11,1,8.0,0,5,1
C100901,2022-01-31,23,Basic,referral,15.96,1,10.0,0,0,0
C104188,2022-01-31,23,Standard,partner,39.57,0,7.0,0,0,0
C101098,2022-01-31,23,Standard,referral,34.5,0,7.0,0,0,0
C104091,2022-01-31,23,Basic,partner,17.49,0,3.0,0,0,0
C101018,2022-01-31,23,Standard,organic,30.77,1,10.0,0,0,0
C105133,2022-01-31,23,Standard,organic,51.87,0,7.0,0,0,0
C107688,2022-01-31,23,Standard,organic,41.1,0,14.0,0,0,0
C104319,2022-01-31,23,Basic,organic,13.58,1,,0,0,0
C106519,2022-02-01,23,Premium,organic,98.56,2,34.0,0,0,0
C102338,2022-02-01,23,Basic,organic,20.02,0,17.0,0,0,0
C100561,2022-02-01,23,Basic,organic,22.44,1,12.0,0,0,0
C101870,2022-02-01,23,Standard,organic,49.44,0,5.0,1,0,0
C100816,2022-02-01,23,Basic,partner,19.33,0,1.0,0,0,0
C103879,2022-02-01,23,Premium,referral,73.84,2,6.0,0,0,0
C104595,2022-02-01,23,Standard,organic,40.36,0,6.0,1,0,0
C106267,2022-02-01,23,Basic,paid_search,24.44,1,1.0,0,0,0
C100055,2022-02-01,23,Premium,paid_search,74.95,0,17.0,1,0,0
C100396,2022-02-02,23,Basic,organic,16.54,2,1.0,0,0,0
C101109,2022-02-02,23,Premium,organic,70.07,2,1.0,1,0,0
C100810,2022-02-02,23,Standard,referral,40.57,0,30.0,0,3,1
C100351,2022-02-02,23,Basic,paid_search,19.61,2,10.0,0,0,0
C107189,2022-02-02,23,Basic,paid_search,15.68,0,14.0,0,0,0
C102779,2022-02-02,23,Standard,organic,33.41,1,1.0,0,0,0
C101805,2022-02-02,23,Standard,organic,39.31,1,8.0,0,0,0
C102521,2022-02-02,23,Basic,organic,19.87,0,0.0,0,0,0
C105621,2022-02-02,23,Standard,organic,36.06,1,9.0,0,0,0
C104268,2022-02-02,23,Standard,referral,36.52,1,5.0,0,0,0
C104775,2022-02-02,23,Basic,partner,18.07,1,14.0,0,0,0
C102370,2022-02-02,23,Premium,paid_search,71.34,1,,0,0,0
C104550,2022-02-02,23,Standard,organic,37.04,1,7.0,0,1,0
C103012,2022-02-03,23,Basic,referral,14.98,1,14.0,0,0,0
C105679,2022-02-03,23,Basic,paid_search,20.81,0,9.0,0,0,0
C104126,2022-02-03,23,Basic,partner,17.72,1,12.0,0,0,0
C103870,2022-02-03,23,Basic,organic,22.92,0,20.0,0,0,0
C103851,2022-02-03,23,Premium,organic,85.24,1,16.0,0,0,0
C107910,2022-02-03,23,Premium,organic,86.13,3,4.0,0,0,0
C103362,2022-02-03,23,Premium,paid_search,79.74,0,12.0,0,5,1
C106312,2022-02-03,23,Standard,paid_search,40.69,1,17.0,0,0,0
C107160,2022-02-03,23,Basic,paid_search,21.41,1,6.0,1,0,0
C101462,2022-02-04,23,Basic,paid_search,19.68,3,10.0,0,0,0
C104769,2022-02-04,23,Basic,organic,18.84,0,6.0,0,0,0
C106884,2022-02-04,23,Premium,organic,66.66,2,5.0,1,0,0
C101780,2022-02-04,23,Premium,organic,63.45,3,5.0,0,0,0
C107395,2022-02-04,23,Standard,referral,49.16,0,14.0,1,0,0
C106191,2022-02-04,23,Basic,organic,13.47,0,5.0,0,0,0
C104021,2022-02-04,23,Basic,referral,24.12,3,17.0,0,1,0
C101525,2022-02-04,23,Premium,organic,90.77,2,4.0,0,0,0
C105092,2022-02-04,23,Basic,referral,20.06,0,10.0,0,0,0
C106611,2022-02-04,23,Basic,paid_search,21.86,0,6.0,0,0,0
C105547,2022-02-05,23,Standard,referral,35.38,1,12.0,0,0,0
C100573,2022-02-05,23,Basic,organic,16.16,3,2.0,0,0,0
C104328,2022-02-05,23,Standard,organic,34.94,0,11.0,0,0,0
C102883,2022-02-05,23,Standard,organic,36.37,1,11.0,1,0,0
C101517,2022-02-05,23,Basic,organic,17.16,0,,0,1,1
C101269,2022-02-05,23,Standard,referral,34.89,0,0.0,0,0,0
C107061,2022-02-05,23,Standard,referral,33.66,0,4.0,1,0,0
C104893,2022-02-05,23,Basic,organic,18.57,0,3.0,1,0,0
C101285,2022-02-05,23,Basic,paid_search,18.48,1,7.0,0,0,0
C100698,2022-02-06,23,Standard,referral,40.48,1,7.0,0,0,0
C105054,2022-02-06,23,Premium,paid_search,81.57,0,4.0,0,0,0
